LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2011,2012,2013,2014,2015,2016,2017,2018,LEVEL
General Government,Board of Aldermen,Personal Services,,,,279472,284922,284922,284922,284922,284922,455923,456906,3
General Government,,Ordinary Maintenance,,,,40700,40660,40660,40660,40660,40660,40660,40660,3
General Government,,Board of Aldermen Total,,,,320172,325582,325582,325582,325582,325582,496583,497566,2
General Government,Clerk of Committees,Personal Services,,,,50464,51450,57450,56244,56244,56244,74244,76659,3
General Government,,Ordinary Maintenance,,,,1000,1000,1000,1000,1000,1000,1000,1000,3
General Government,,Clerk of Committees Total,,,,51464,52450,58450,57244,57244,57244,75244,77659,2
General Government,Executive Administration,Personal Services,,,,341916,354696,353337,427003,433611,445642,617683,642411,3
General Government,,Ordinary Maintenance,,,,62900,62900,62900,62900,62900,62900,62900,69576,3
General Government,,Special Items,,,,100000,105000,170000,175000,166500,166500,216500,216500,3
General Government,,Executive Administration Total,,,,504816,522596,586237,664903,663011,675042,897083,928487,2
General Government,Somerstat,Personal Services,,,,261111,266191,366574,338813,343312,353783,372092,449449,3
General Government,,Ordinary Maintenance,,,,11340,31609,31340,22840,16800,23800,23800,23800,3
General Government,,Somerstat Total,,,,272451,297800,397914,361653,360112,377583,395892,473249,2
General Government,Capital Projects,Personal Services,,,,0,0,258958,371190,349184,417423,438919,542465,3
General Government,,Ordinary Maintenance,,,,0,0,20000,27495,27495,27495,32495,37120,3
General Government,,Capital Items,,,,0,0,0,150000,150000,150000,225000,225000,3
General Government,,Capital Projects Total,,,,0,0,278958,548685,526679,594918,696414,804585,2
General Government,Somerpromise,Personal Services,,,,61332,67469,67210,75000,76193,77944,79157,82832,3
General Government,,Ordinary Maintenance,,,,5800,350,127850,120000,120170,120170,120320,120320,3
General Government,,Somerpromise Total,,,,67132,67819,195060,195000,196363,198114,199477,203152,2
General Government,Council on Aging,Personal Services,,,,215234,219421,217486,291631,327129,372733,378345,394127,3
General Government,,Ordinary Maintenance,,,,4950,34318,41375,95177,99227,99227,99227,99327,3
General Government,,Council on Aging Total,,,,220184,253739,258861,386808,426356,471960,477572,493454,2
General Government,Constituent Services,Personal Services,,,,581244,589080,554644,648833,634598,651894,640017,681174,3
General Government,,Ordinary Maintenance,,,,13250,15650,16150,21850,45250,45250,61250,66000,3
General Government,,Constituent Services Total,,,,594494,604730,570794,670683,679848,697144,701267,747174,2
General Government,Arts Council,Personal Services,,,,96389,98264,97888,223883,235528,243857,340459,350001,3
General Government,,Ordinary Maintenance,,,,1175,1000,101000,111000,138000,154125,154125,154125,3
General Government,,Arts Council Total,,,,97564,99264,198888,334883,373528,397982,494584,504126,2
General Government,Office of Sustainability & Environment,Personal Services,,,,130277,133175,139210,156584,155867,161774,220148,262668,3
General Government,,Ordinary Maintenance,,,,3750,2500,7500,2500,4500,171325,103550,115500,3
General Government,,Office of Sustainability & Environment Total,,,,134027,135675,146710,159084,160367,333099,323698,378168,2
General Government,Communications & Community Engagement,Personal Services,,,,43387,43148,42910,237787,322339,331464,335596,712801,3
General Government,,Ordinary Maintenance,,,,3325,8325,23325,31875,24825,21565,23125,185647,3
General Government,,Communications & Community Engagement Total,,,,46712,51473,66235,269662,347164,353029,358721,898448,2
General Government,Personnel,Personal Services,,,,241637,233328,395985,687739,716337,737958,796646,944698,3
General Government,,Ordinary Maintenance,,,,161900,219900,218900,257195,277775,307700,318700,314752,3
General Government,,Special Items,,,,44000,44000,44000,44000,61010,61010,60000,71000,3
General Government,,Personnel Total,,,,447537,497228,658885,988934,1055122,1106668,1175346,1330450,2
General Government,Information Technology,Personal Services,,,,547536,552981,555108,601506,682828,718870,733595,801426,3
General Government,,Ordinary Maintenance,,,,927300,897510,1044545,1253140,1239380,1298080,1593934,1791471,3
General Government,,Information Technology Total,,,,1474836,1450491,1599653,1854646,1922208,2016950,2327529,2592897,2
General Government,Elections,Personal Services,,,,284792,323397,324953,341486,350833,378554,506774,427925,3
General Government,,Ordinary Maintenance,,,,64720,137320,137320,94370,98370,189650,120145,114100,3
General Government,,Elections Total,,,,349512,460717,462273,435856,449203,568204,626919,542025,2
General Government,Veteran's Services,Personal Services,,,,106347,107597,107155,112346,114878,116281,121294,131229,3
General Government,,Ordinary Maintenance,,,,248154,278304,358304,489819,606669,634035,634035,634335,3
General Government,,Veteran's Services Total,,,,354501,385901,465419,602165,721547,750316,755329,765564,2
General Government,Finance - Treasurer,Personal Services,,,,567211,583956,583986,649452,633094,655717,662214,694920,3
