LEVEL1,LEVEL2,LEVEL3,TOOLTIP,SOURCE,SOURCE URL,2011,2012,2013,2014,2015,2016,LEVEL
Property Taxes,(411000) Property Taxes,,,,,100575528,104829090,108884419,116112598,123015413,129147863,2
Property Taxes,(411000) Property Taxes Total,,,,,100575528,104829090,108884419,116112598,123015413,129147863,2
Property Taxes Total,,,,,,100575528,104829090,108884419,116112598,123015413,129147863,1
Excise Taxes,(415000) Motor Vehicle Excise,,,,,4405041,4600000,5100000,5400000,5600000,5674776,2
Excise Taxes,(415000) Motor Vehicle Excise Total,,,,,4405041,4600000,5100000,5400000,5600000,5674776,2
Excise Taxes,(466002) Urban Excise Development,,,,,125000,125000,125000,125000,125000,125000,2
Excise Taxes,(466002) Urban Excise Development Total,,,,,125000,125000,125000,125000,125000,125000,2
Excise Taxes,(468001) Local Meals,,,,,623042,912351,1079622,1189963,1437448,1602237,2
Excise Taxes,(468001) Local Meals Total,,,,,623042,912351,1079622,1189963,1437448,1502237,2
Excise Taxes,(468002) Local Option Room Excise,,,,,479055,540757,598429,672323,703556,977158,2
Excise Taxes,(468002) Local Option Room Excise Total,,,,,479055,540757,598429,672323,703556,977158,2
Excise Taxes Total,,,,,,5632138,6178108,6903051,7387286,7866004,8379171,1
Penalties & Interest on Taxes,Interest,(417001) Personal Property,,,,3000,4000,4000,4500,5000,5000,3
Penalties & Interest on Taxes,,(417001) Personal Property Total,,,,3000,4000,4000,4500,5000,5000,3
Penalties & Interest on Taxes,,(417002) Real Estate,,,,125000,180000,180000,200000,200000,200000,3
Penalties & Interest on Taxes,,(417002) Real Estate Total,,,,125000,180000,180000,200000,200000,200000,3
Penalties & Interest on Taxes,,(417003) Excise Tax,,,,14000,16000,16000,16000,16000,16000,3
Penalties & Interest on Taxes,,(417003) Excise Tax Total,,,,14000,16000,16000,16000,16000,16000,3
Penalties & Interest on Taxes,,(417004) Tax Title,,,,250000,325000,100000,125000,175000,175000,3
Penalties & Interest on Taxes,,(417004) Tax Title Total,,,,250000,325000,100000,125000,175000,175000,3
Penalties & Interest on Taxes,,Interest Total,,,,392000,525000,300000,345500,396000,396000,2
Penalties & Interest on Taxes,Penalties,(417006) Tax Title,,,,40000,12000,3000,0,0,108,3
Penalties & Interest on Taxes,,(417006) Tax Title Total,,,,40000,12000,3000,0,0,108,3
Penalties & Interest on Taxes,,(417007) Demand & Penalties Tax/Excise,,,,25000,175000,300000,350000,350000,350000,3
Penalties & Interest on Taxes,,(417007) Demand & Penalties Tax/Excise Total,,,,25000,175000,300000,350000,350000,350000,3
Penalties & Interest on Taxes,,(417009) Non-Criminal Demand,,,,0,0,69365,41500,44485,44485,3
Penalties & Interest on Taxes,,(417009) Non-Criminal Demand Total,,,,0,0,69365,41500,44485,44485,3
Penalties & Interest on Taxes,,(417010) Non-Criminal Lien,,,,0,0,117291,66000,65145,65145,3
Penalties & Interest on Taxes,,(417010) Non-Criminal Lien Total,,,,0,0,117291,66000,65145,65145,3
Penalties & Interest on Taxes,,Penalties Total,,,,65000,187000,489656,457500,459630,459738,2
Penalties & Interest on Taxes Total,,,,,,457000,712000,789656,803000,855630,855738,1
PILOT Payments,(418000) Payments in Lieu of Taxes,,,,,143472,143472,180000,280000,280000,840000,2
PILOT Payments,(418000) Payments in Lieu of Taxes Total,,,,,143472,143472,180000,280000,280000,840000,2
PILOT Payments Total,,,,,,143472,143472,180000,280000,280000,840000,1
Charges - Trash,(432017) Residential Trash Fee,,,,,110000,75600,90000,55000,30000,7000,2
Charges - Trash,(432017) Residential Trash Fee Total,,,,,110000,75600,90000,55000,30000,7000,2
Charges - Trash,(432019) Royalty Fees - Vendor,,,,,200000,250000,250000,20455,0,0,2
Charges - Trash,(432019) Royalty Fees - Vendor Total,,,,,200000,250000,250000,20455,0,0,2
Charges - Trash,(432020) Sanitation Fees,,,,,120000,123500,127000,65000,70000,2050,2
Charges - Trash,(432020) Sanitation Fees Total,,,,,120000,123500,127000,65000,70000,2050,2
Charges - Trash,White Goods,,,,,20000,0,0,0,0,0,2
Charges - Trash,White Goods Total,,,,,20000,0,0,0,0,0,2
Charges - Trash Total,,,,,,450000,449100,467000,140455,100000,9050,1
Fees,(432001) Advertising Fees,,,,,600,600,600,600,12000,600,2
Fees,(432001) Advertising Fees Total,,,,,600,600,600,600,12000,600,2
Fees,(432002) Business Certificate,,,,,36000,36000,36000,30000,30000,30000,2
Fees,(432002) Business Certificate Total,,,,,36000,36000,36000,30000,30000,30000,2
Fees,(432003) Cert of Liens,,,,,150000,150000,150000,160000,160000,145000,2
Fees,(432003) Cert of Liens Total,,,,,150000,150000,150000,160000,160000,145000,2
Fees,(432004) Condo Appl Fee,,,,,62500,65000,65000,74000,65000,75000,2
Fees,(432004) Condo Appl Fee Total,,,,,62500,65000,65000,74000,65000,75000,2
Fees,(432005) Constable Fees,,,,,1000,1000,1000,1500,1500,1500,2
Fees,(432005) Constable Fees Total,,,,,1000,1000,1000,1500,1500,1500,2
Fees,(432006) Copies of Records,,,,,90000,90000,90520,91000,90300,90300,2
Fees,(432006) Copies of Records Total,,,,,90000,90000,90520,91000,90300,90300,2
Fees,(432008) Police Detail Surcharge,,,,,170000,178000,183500,160000,160000,176000,2
Fees,(432008) Police Detail Surcharge Total,,,,,170000,178000,183500,160000,160000,176000,2
Fees,(432008) Fire Detail Surcharge,,,,,25000,25000,0,5500,20000,50000,2
Fees,(432008) Fire Detail Surcharge Total,,,,,25000,25000,0,5500,20000,50000,2
Fees,(432008) Custodial Detail Surcharge,,,,,8000,8000,0,8000,8000,8000,2
Fees,(432008) Custodial Detail Surcharge Total,,,,,8000,8000,0,8000,8000,8000,2
Fees,(432009) False Alarm Fee,,,,,50000,60000,70000,45000,45000,50000,2
Fees,(432009) False Alarm Fee Total,,,,,50000,60000,70000,45000,45000,50000,2
Fees,(432010) Fingerprinting Fees,,,,,1700,1700,2000,2000,2000,2000,2
Fees,(432010) Fingerprinting Fees Total,,,,,1700,1700,2000,2000,2000,2000,2
Fees,(432011) Fire Alarm Reimbursement,,,,,60000,80000,80000,100000,125000,155000,2
Fees,(432011) Fire Alarm Reimbursement Total,,,,,60000,80000,80000,100000,125000,155000,2
Fees,(432012) Misc Fees,,,,,11420,23000,20000,30000,32625,32625,2
Fees,(432012) Misc Fees Total,,,,,11420,23000,20000,30000,32625,32625,2
Fees,(432014) Notarization,,,,,500,500,500,400,400,200,2
Fees,(432014) Notarization Total,,,,,500,500,500,400,400,200,2
Fees,(432015) Parking Fine CC Fee,,,,,3031,0,0,145,145,0,2
Fees,(432015) Parking Fine CC Fee Total,,,,,3031,0,0,145,145,0,2
Fees,(432016) Police Cruiser Fees,,,,,6200,5600,6300,6000,18000,12960,2
Fees,(432016) Police Cruiser Fees Total,,,,,6200,5600,6300,6000,18000,12960,2
Fees,(432018) Returned Check Fee,,,,,2500,3300,4500,4500,3000,2800,2
Fees,(432018) Returned Check Fee Total,,,,,2500,3300,4500,4500,3000,2800,2
Fees,(432021) Smoke Detector Insp,,,,,56000,45000,45000,55000,50000,50000,2
Fees,(432021) Smoke Detector Insp Total,,,,,56000,45000,45000,55000,50000,50000,2
Fees,(432022) SPGA Fees,,,,,750,950,1125,1125,1125,1125,2
Fees,(432022) SPGA Fees Total,,,,,750,950,1125,1125,1125,1125,2
Fees,(432023) Witness Fees,,,,,70,70,100,100,100,100,2
Fees,(432023) Witness Fees Total,,,,,70,70,100,100,100,100,2
Fees,(432028) Curb Cut Fee,,,,,18000,25205,25000,16000,12000,35000,2
Fees,(432028) Curb Cut Fee Total,,,,,18000,25205,25000,16000,12000,35000,2
Fees,(432029) Temp No Parking Sign,,,,,39500,43200,40000,45625,45625,52000,2
Fees,(432029) Temp No Parking Sign Total,,,,,39500,43200,40000,45625,45625,52000,2
Fees,(432033) Taxicab Reinsp Fee,,,,,0,150,150,150,150,150,2
Fees,(432033) Taxicab Reinsp Fee Total,,,,,0,150,150,150,150,150,2
Fees,(432035) Pool Fees,,,,,0,0,0,7500,7500,16424,2
Fees,(432035) Pool Fees Total,,,,,0,0,0,7500,7500,16424,2
Fees,(432037) Park Lights,,,,,0,0,0,0,0,15000,2
Fees,(432037) Park Lights Total,,,,,0,0,0,0,0,15000,2
Fees,(437002) Bus Routes Revenue,,,,,0,500,500,0,0,0,2
Fees,(437002) Bus Routes Revenue Total,,,,,0,500,500,0,0,0,2
Fees,(437003) Bus Shelter Advertising Revenue,,,,,14737,15000,19000,15000,20000,30000,2
Fees,(437003) Bus Shelter Advertising Revenue Total,,,,,14737,15000,19000,15000,20000,30000,2
Fees,(437006) E-Rate Reimb,,,,,0,0,5200,3700,3500,0,2
Fees,(437006) E-Rate Reimb Total,,,,,0,0,5200,3700,3500,0,2
Fees,(437017) Bike Advertising Fee,,,,,0,0,0,0,70800,45000,2
Fees,(437017) Bike Advertising Fee Total,,,,,0,0,0,0,70800,45000,2
Fees,(445013) Sealing Fees,,,,,18500,21866,22000,22000,22000,20000,2
Fees,(445013) Sealing Fees Total,,,,,18500,21866,22000,22000,22000,20000,2
Fees,Newspaper Machine Fees,,,,,4500,3600,0,0,0,0,2
Fees,Newspaper Machine Fees Total,,,,,4500,3600,0,0,0,0,2
Fees,(445018) Field Usage Permit,,,,,0,0,0,0,0,40000,2
Fees,(445018) Field Usage Permit Total,,,,,0,0,0,0,0,40000,2
Fees Total,,,,,,830508,883241,867995,884845,1005770,1141784,1
Rentals,(436000) Rental Income,,,,,296000,294590,261000,121000,18400,20400,2
Rentals,(436000) Rental Income Total,,,,,296000,294590,261000,121000,18400,20400,2
Rentals,(436100) Building Use Revenue,,,,,0,0,33590,57000,57000,57000,2
Rentals,(436100) Building Use Revenue Total,,,,,0,0,33590,57000,57000,57000,2
Rentals Total,,,,,,296000,294590,294590,178000,75400,77400,1
Other Department Revenue,(437001) Planning & Zoning,,,,,0,0,110000,110000,120000,120000,2
Other Department Revenue,(437001) Planning & Zoning Total,,,,,0,0,110000,110000,120000,120000,2
Other Department Revenue,(437004) Commission on Machines,,,,,500,500,500,500,500,500,2
Other Department Revenue,(437004) Commission on Machines Total,,,,,500,500,500,500,500,500,2
Other Department Revenue Total,,,,,,500,500,110500,110500,120500,120500,1
Licenses & Permits,(441001) Club Restr Lic 7-Day,,,,,20900,22000,21400,23000,20800,26000,2
Licenses & Permits,(441001) Club Restr Lic 7-Day Total,,,,,20900,22000,21400,23000,20800,26000,2
Licenses & Permits,(441002) Common Victuallers,,,,,45000,45000,52000,55000,55000,60000,2
Licenses & Permits,(441002) Common Victuallers Total,,,,,45000,45000,52000,55000,55000,60000,2
